modbusAddr,name,register,datatype,desc
300001,AutbusPADev1_slot0_var1.AutbusPADev1_slot0_var1,Input Registers,USINT,InData1
300002,AutbusPADev1_slot0_var2.AutbusPADev1_slot0_var2,Input Registers,UINT,InData2
300003,AutbusPADev1_slot0_var3.AutbusPADev1_slot0_var3,Input Registers,ULINT,timer
300007,AutbusPADev1_slot0_var4.AutbusPADev1_slot0_var4,Input Registers,UINT,year
300008,AutbusPADev1_slot0_var5.AutbusPADev1_slot0_var5,Input Registers,USINT,month
300009,AutbusPADev1_slot0_var6.AutbusPADev1_slot0_var6,Input Registers,USINT,day
300010,AutbusPADev1_slot0_var7.AutbusPADev1_slot0_var7,Input Registers,USINT,hour
300011,AutbusPADev1_slot0_var8.AutbusPADev1_slot0_var8,Input Registers,USINT,minute
300012,AutbusPADev1_slot0_var9.AutbusPADev1_slot0_var9,Input Registers,USINT,second
400001,AutbusPADev1_slot0_var10.AutbusPADev1_slot0_var10,Holding Registers,USINT,OutData1
400002,AutbusPADev1_slot0_var11.AutbusPADev1_slot0_var11,Holding Registers,USINT,OutData2
300013,AutbusPADev1_slot0_alarm1.AutbusPADev1_slot0_alarm1,Input Registers,USINT,alarm1
300014,AutbusPADev1_slot0_alarm2.AutbusPADev1_slot0_alarm2,Input Registers,USINT,alarm2
400003,null.null,Holding Registers,UINT,参数1(0 ~ 1000) 
400004,null.null,Holding Registers,UINT,参数2(0 ~ 1000) 
300015,null.null,Input Registers,UINT,undefined
300016,AutbusPADev2_slot0_var1.AutbusPADev2_slot0_var1,Input Registers,REAL,当前输出湿度值
300018,AutbusPADev2_slot0_var2.AutbusPADev2_slot0_var2,Input Registers,REAL,当前输出温度值 
300020,AutbusPADev2_slot0_alarm1.AutbusPADev2_slot0_alarm1,Input Registers,USINT,仪表正常
300021,AutbusPADev2_slot0_alarm2.AutbusPADev2_slot0_alarm2,Input Registers,USINT,湿度传感器开路故障
300022,AutbusPADev2_slot0_alarm3.AutbusPADev2_slot0_alarm3,Input Registers,USINT,湿度传感器短路故障
300023,AutbusPADev2_slot0_alarm4.AutbusPADev2_slot0_alarm4,Input Registers,USINT,温度传感器开路故障
300024,AutbusPADev2_slot0_alarm5.AutbusPADev2_slot0_alarm5,Input Registers,USINT,温度传感器短路故障
300025,AutbusPADev2_slot0_alarm6.AutbusPADev2_slot0_alarm6,Input Registers,USINT,湿度超传感器极限故障
300026,AutbusPADev2_slot0_alarm7.AutbusPADev2_slot0_alarm7,Input Registers,USINT,温度超传感器极限故障
300027,AutbusPADev2_slot0_alarm8.AutbusPADev2_slot0_alarm8,Input Registers,USINT,湿度超量程上限故障
300028,AutbusPADev2_slot0_alarm9.AutbusPADev2_slot0_alarm9,Input Registers,USINT,湿度超量程下限故障
300029,AutbusPADev2_slot0_alarm10.AutbusPADev2_slot0_alarm10,Input Registers,USINT,温度超量程上限故障
300030,AutbusPADev2_slot0_alarm11.AutbusPADev2_slot0_alarm11,Input Registers,USINT,温度超量程下限故障
300031,AutbusPADev2_slot0_alarm12.AutbusPADev2_slot0_alarm12,Input Registers,USINT,环境温度超限故障
300032,AutbusPADev2_slot0_alarm13.AutbusPADev2_slot0_alarm13,Input Registers,USINT,硬件故障-供电异常
300033,AutbusPADev2_slot0_alarm14.AutbusPADev2_slot0_alarm14,Input Registers,USINT,硬件故障-模拟输出异常
300034,AutbusPADev2_slot0_alarm15.AutbusPADev2_slot0_alarm15,Input Registers,USINT,其他硬件故障
400005,null.null,Holding Registers,USINT,湿度显示单位(0 ~ 0) 
400006,null.null,Holding Registers,USINT,温度显示单位(0 ~ 0) 
400007,null.null,Holding Registers,USINT,写保护(0 ~ 1) 
400008,null.null,Holding Registers,REAL,湿度量程上限(0 ~ 0) 
400010,null.null,Holding Registers,REAL,湿度量程下限(0 ~ 0) 
400012,null.null,Holding Registers,REAL,温度量程上限(0 ~ 0) ℃
400014,null.null,Holding Registers,REAL,温度量程下限(0 ~ 0) ℃
